"","mpid","firstname","surname","party","PublicWhip.URL"
"506",41885,"Philip","Dunne","Con","https://www.publicwhip.org.uk/mp.php?mpid=41885"
"507",41886,"Kelvin","Hopkins","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41886"
"508",41887,"David","Rutley","Con","https://www.publicwhip.org.uk/mp.php?mpid=41887"
"509",41888,"Helen","Grant","Con","https://www.publicwhip.org.uk/mp.php?mpid=41888"
"510",41889,"Ben","Bradley","Con","https://www.publicwhip.org.uk/mp.php?mpid=41889"
"511",41890,"George","Hollingbery","Con","https://www.publicwhip.org.uk/mp.php?mpid=41890"
"512",41891,"Pauline","Latham","Con","https://www.publicwhip.org.uk/mp.php?mpid=41891"
"513",41892,"Michael","Tomlinson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41892"
"514",41893,"Nicholas","Soames","Con","https://www.publicwhip.org.uk/mp.php?mpid=41893"
"515",41894,"Mark","Lancaster","Con","https://www.publicwhip.org.uk/mp.php?mpid=41894"
"516",41895,"Iain","Stewart","Con","https://www.publicwhip.org.uk/mp.php?mpid=41895"
"517",41896,"David","Morris","Con","https://www.publicwhip.org.uk/mp.php?mpid=41896"
"518",41897,"Andrea","Jenkyns","Con","https://www.publicwhip.org.uk/mp.php?mpid=41897"
"519",41898,"Marion","Fellows","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41898"
"520",41899,"Robert","Jenrick","Con","https://www.publicwhip.org.uk/mp.php?mpid=41899"
"521",41900,"Paul","Farrelly","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41900"
"522",41902,"Yvette","Cooper","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41902"
"523",41903,"Peter","Heaton-Jones","Con","https://www.publicwhip.org.uk/mp.php?mpid=41903"
"524",41904,"Simon","Hoare","Con","https://www.publicwhip.org.uk/mp.php?mpid=41904"
"525",41905,"Alistair","Burt","Con","https://www.publicwhip.org.uk/mp.php?mpid=41905"
"526",41906,"Stephen","Barclay","Con","https://www.publicwhip.org.uk/mp.php?mpid=41906"
"527",41907,"Lee","Rowley","Con","https://www.publicwhip.org.uk/mp.php?mpid=41907"
"528",41908,"Stephen","Gethins","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41908"
"529",41909,"Jacob","Rees-Mogg","Con","https://www.publicwhip.org.uk/mp.php?mpid=41909"
"530",41910,"Bill","Wiggin","Con","https://www.publicwhip.org.uk/mp.php?mpid=41910"
"531",41911,"Owen","Paterson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41911"
"532",41912,"Liam","Fox","Con","https://www.publicwhip.org.uk/mp.php?mpid=41912"
"533",41913,"Roger","Gale","Con","https://www.publicwhip.org.uk/mp.php?mpid=41913"
"534",41914,"Kit","Malthouse","Con","https://www.publicwhip.org.uk/mp.php?mpid=41914"
"535",41915,"Henry","Bellingham","Con","https://www.publicwhip.org.uk/mp.php?mpid=41915"
"536",41916,"Michael","Ellis","Con","https://www.publicwhip.org.uk/mp.php?mpid=41916"
"537",41917,"Andrew","Lewer","Con","https://www.publicwhip.org.uk/mp.php?mpid=41917"
"538",41918,"Chris","Leslie","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41918"
"539",41919,"Alex","Norris","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41919"
"540",41920,"James","Brokenshire","Con","https://www.publicwhip.org.uk/mp.php?mpid=41920"
"541",41921,"Jim","McMahon","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41921"
"542",41922,"Alistair","Carmichael","LDem","https://www.publicwhip.org.uk/mp.php?mpid=41922"
"543",41923,"Jo","Johnson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41923"
"544",41924,"Layla","Moran","LDem","https://www.publicwhip.org.uk/mp.php?mpid=41924"
"545",41925,"Rory","Stewart","Con","https://www.publicwhip.org.uk/mp.php?mpid=41925"
"546",41926,"Johnny","Mercer","Con","https://www.publicwhip.org.uk/mp.php?mpid=41926"
"547",41927,"Luke","Pollard","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41927"
"548",41928,"Robert","Syms","Con","https://www.publicwhip.org.uk/mp.php?mpid=41928"
"549",41929,"Jim","Fitzpatrick","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41929"
"550",41930,"Stephen","Crabb","Con","https://www.publicwhip.org.uk/mp.php?mpid=41930"
"551",41931,"Stuart","Andrew","Con","https://www.publicwhip.org.uk/mp.php?mpid=41931"
"552",41932,"Matt","Rodda","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41932"
"553",41933,"Alok","Sharma","Con","https://www.publicwhip.org.uk/mp.php?mpid=41933"
"554",41934,"Rachel","Maclean","Con","https://www.publicwhip.org.uk/mp.php?mpid=41934"
"555",41935,"Rishi","Sunak","Con","https://www.publicwhip.org.uk/mp.php?mpid=41935"
"556",41936,"Zac","Goldsmith","Con","https://www.publicwhip.org.uk/mp.php?mpid=41936"
"557",41937,"Kelly","Tolhurst","Con","https://www.publicwhip.org.uk/mp.php?mpid=41937"
"558",41938,"Ian","Blackford","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41938"
"559",41939,"Jake","Berry","Con","https://www.publicwhip.org.uk/mp.php?mpid=41939"
"560",41940,"Kevin","Barron","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41940"
"561",41941,"Sarah","Champion","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41941"
"562",41942,"Nick","Hurd","Con","https://www.publicwhip.org.uk/mp.php?mpid=41942"
"563",41943,"Philip","Hammond","Con","https://www.publicwhip.org.uk/mp.php?mpid=41943"
"564",41944,"Alan","Duncan","Con","https://www.publicwhip.org.uk/mp.php?mpid=41944"
"565",41945,"Kemi","Badenoch","Con","https://www.publicwhip.org.uk/mp.php?mpid=41945"
"566",41946,"Robert","Goodwill","Con","https://www.publicwhip.org.uk/mp.php?mpid=41946"
"567",41947,"Nicholas","Dakin","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41947"
"568",41948,"Paul","Blomfield","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41948"
"569",41949,"Mark","Spencer","Con","https://www.publicwhip.org.uk/mp.php?mpid=41949"
"570",41950,"Philip","Davies","Con","https://www.publicwhip.org.uk/mp.php?mpid=41950"
"571",41951,"Daniel","Kawczynski","Con","https://www.publicwhip.org.uk/mp.php?mpid=41951"
"572",41952,"Julian","Smith","Con","https://www.publicwhip.org.uk/mp.php?mpid=41952"
"573",41953,"Caroline","Johnson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41953"
"574",41954,"Tanmanjeet Singh","Dhesi","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41954"
"575",41955,"David","Warburton","Con","https://www.publicwhip.org.uk/mp.php?mpid=41955"
"576",41956,"Lucy","Frazer","Con","https://www.publicwhip.org.uk/mp.php?mpid=41956"
"577",41957,"Alberto","Costa","Con","https://www.publicwhip.org.uk/mp.php?mpid=41957"
"578",41958,"Andrea","Leadsom","Con","https://www.publicwhip.org.uk/mp.php?mpid=41958"
"579",41959,"Seema","Kennedy","Con","https://www.publicwhip.org.uk/mp.php?mpid=41959"
"580",41960,"Gavin","Williamson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41960"
"581",41961,"James","Cartlidge","Con","https://www.publicwhip.org.uk/mp.php?mpid=41961"
"582",41962,"Craig","Mackinlay","Con","https://www.publicwhip.org.uk/mp.php?mpid=41962"
"583",41963,"Andrew","Selous","Con","https://www.publicwhip.org.uk/mp.php?mpid=41963"
"584",41964,"Gary","Streeter","Con","https://www.publicwhip.org.uk/mp.php?mpid=41964"
"585",41965,"David","Gauke","Con","https://www.publicwhip.org.uk/mp.php?mpid=41965"
"586",41966,"Elizabeth","Truss","Con","https://www.publicwhip.org.uk/mp.php?mpid=41966"
"587",41967,"Jeremy","Hunt","Con","https://www.publicwhip.org.uk/mp.php?mpid=41967"
"588",41968,"Royston","Smith","Con","https://www.publicwhip.org.uk/mp.php?mpid=41968"
"589",41969,"Alan","Whitehead","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41969"
"590",41970,"Kwasi","Kwarteng","Con","https://www.publicwhip.org.uk/mp.php?mpid=41970"
"591",41971,"Derek","Thomas","Con","https://www.publicwhip.org.uk/mp.php?mpid=41971"
"592",41972,"Jonathan","Reynolds","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41972"
"593",41973,"Stephen","Kerr","Con","https://www.publicwhip.org.uk/mp.php?mpid=41973"
"594",41974,"Ann","Coffey","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41974"
"595",41975,"Gareth","Snell","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41975"
"596",41976,"Ruth","Smeeth","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41976"
"597",41977,"Jack","Brereton","Con","https://www.publicwhip.org.uk/mp.php?mpid=41977"
"598",41978,"Bill","Cash","Con","https://www.publicwhip.org.uk/mp.php?mpid=41978"
"599",41979,"Margot","James","Con","https://www.publicwhip.org.uk/mp.php?mpid=41979"
"600",41980,"Chuka","Umunna","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41980"
"601",41981,"Kate","Green","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41981"
"602",41982,"Esther","McVey","Con","https://www.publicwhip.org.uk/mp.php?mpid=41982"
"603",41983,"Rebecca","Pow","Con","https://www.publicwhip.org.uk/mp.php?mpid=41983"
"604",41984,"Laurence","Robertson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41984"
"605",41985,"Kevin","Hollinrake","Con","https://www.publicwhip.org.uk/mp.php?mpid=41985"
"606",41986,"Luke","Hall","Con","https://www.publicwhip.org.uk/mp.php?mpid=41986"
"607",41987,"Neil","Parish","Con","https://www.publicwhip.org.uk/mp.php?mpid=41987"
"608",41988,"Geoffrey","Cox","Con","https://www.publicwhip.org.uk/mp.php?mpid=41988"
"609",41989,"Sarah","Wollaston","Con","https://www.publicwhip.org.uk/mp.php?mpid=41989"
"610",41990,"Sarah","Newton","Con","https://www.publicwhip.org.uk/mp.php?mpid=41990"
"611",41991,"David","Simpson","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41991"
"612",41992,"Kate","Hoey","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41992"
"613",41993,"Mary","Creagh","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41993"
"614",41994,"Eddie","Hughes","Con","https://www.publicwhip.org.uk/mp.php?mpid=41994"
"615",41995,"Valerie","Vaz","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41995"
"616",41996,"Ian","Lavery","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41996"
"617",41997,"Ed","Vaizey","Con","https://www.publicwhip.org.uk/mp.php?mpid=41997"
"618",41998,"Faisal","Rashid","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41998"
"619",41999,"Matt","Western","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41999"
"620",42000,"Peter","Aldous","Con","https://www.publicwhip.org.uk/mp.php?mpid=42000"
