"country","countrycode","year","aid","oil","gdp.capita","institutions","polity2","population","mortality"
"Egypt, Arab Rep.","EGY",2009,3.551410104,"5.9284868663226",1911.964501,-0.462709038207928,-3,"82465022",20
"Egypt, Arab Rep.","EGY",2010,2.917207326,"7.25661318803335",1975.550031,-0.56483685101072,-3,"84107606",18.6
"Eritrea","ERI",1996,5.291989368,"0",203.4849296,-0.777689456939697,-6,"3116379",70.1
"Eritrea","ERI",1998,19.92126707,"0",212.6984812,-0.562050747374694,-6,"3224223",65.2
"Eritrea","ERI",2000,4.399548128,"0",172.7571562,-0.707711408535639,-6,"3392801",60.4
"Eritrea","ERI",2002,2.960857215,"0",199.1203198,-0.746811542039116,-7,"3614639",56
"Eritrea","ERI",2003,2.528059949,"0",185.8124989,-0.968099839985371,-7,"3738265",54.1
"Eritrea","ERI",2004,-0.709617586,"0",180.973696,-1.00725647062063,-7,"3858623",52.1
"Eritrea","ERI",2005,-0.094683744,"0",178.6738179,-1.10618478308121,-7,"3969007",50.4
"Eritrea","ERI",2006,0.037153635,"0",170.8777406,-1.27696580688159,-7,"4066648",48.6
"Eritrea","ERI",2007,-0.008346082,"0",167.7992226,-1.38014427820841,-7,"4153332",47
"Eritrea","ERI",2008,-0.016906221,"0",146.8084041,-1.30303970475992,-7,"4232636",45.4
"Eritrea","ERI",2009,0.001914971,"0",147.9979997,-1.36443881193797,-7,"4310334",43.7
"Eritrea","ERI",2010,2.626347968,"0",146.7766347,-1.39692594110966,-7,"4390840",42.3
"Estonia","EST",1996,3.177370934,"0.0718602205879781",3070.573905,0.657085862010717,6,"1415594",13.9
"Estonia","EST",1998,10.37776623,"0.0112069685882833",3742.409613,0.7597243587176,6,"1386156",11.9
"Estonia","EST",2000,6.824640909,"0.128897087068449",4143.930269,0.847171912590663,9,"1396985",10.1
"Estonia","EST",2002,3.887886133,"0.101576260952683",4730.725844,0.89371653397878,9,"1379350",8.6
"Estonia","EST",2003,9.33862995,"0.101053891034491",5117.244857,0.957700461149216,9,"1370720",7.9
"Estonia","EST",2004,8.031115632,"0.113124668324475",5459.032599,0.9795929590861,9,"1362550",7.3
"Estonia","EST",2005,21.15183047,"0.167522503920329",5956.443371,0.972461978594462,9,"1354775",6.7
"Estonia","EST",2006,10.64047056,"0.183654871709533",6570.332519,1.04214542110761,9,"1346810",6.1
"Estonia","EST",2007,12.36733979,"0.159976303694402",7072.465276,1.03190304835637,9,"1340680",5.6
"Estonia","EST",2008,7.321258716,"0.233215266998557",6817.923328,1.06908530990283,9,"1337090",5.2
"Estonia","EST",2009,9.925239709,"0.158032625376662",5847.594614,1.05788490176201,9,"1334515",4.8
"Estonia","EST",2010,8.176875532,"0.242217917798885",5980.447198,1.08179582158724,9,"1331475",4.3
"Finland","FIN",1996,0.871528223,"0",19468.15567,1.76109220584234,10,"5124573",4.1
"Finland","FIN",1998,9.2696831,"0",21594.65366,1.85032294193904,10,"5153498",3.8
"Finland","FIN",2000,7.492540473,"0",23529.53846,1.97016596794128,10,"5176209",3.5
"Finland","FIN",2002,6.122002155,"0",24393.37625,1.94536793231964,10,"5200598",3.3
"Finland","FIN",2003,2.113985293,"0",24825.00902,1.96297627687454,10,"5213014",3.2
"Finland","FIN",2004,1.518410353,"0",25774.06477,1.98334662119548,10,"5228172",3.1
"Finland","FIN",2005,2.454651236,"0",26435.02344,1.91034646828969,10,"5246096",3
"Finland","FIN",2006,3.713987772,"0",27495.24136,1.91271418333054,10,"5266268",2.9
"Finland","FIN",2007,5.152631142,"0",28839.22241,1.81612632671992,10,"5288720",2.8
"Finland","FIN",2008,-0.843103007,"0",28789.54385,1.83010017871857,10,"5313399",2.6
"Finland","FIN",2009,0.207654038,"0",26258.49418,1.86112385988235,10,"5338871",2.5
"Finland","FIN",2010,2.905308921,"0",27114.00711,1.85232621431351,10,"5363352",2.4
"Fiji","FJI",1996,0.113788487,"..",2025.48405,0.198739786632359,5,"784476",21.2
"Fiji","FJI",1998,6.458614594,"..",1966.646406,0.0797009488257269,5,"800315",20.2
"Fiji","FJI",2000,0.035114999,"..",2074.747318,-0.386740985016028,5,"811223",19.2
"Fiji","FJI",2002,1.664662411,"..",2171.607378,0.0240782620385289,5,"815691",18.3
"Fiji","FJI",2003,1.740715522,"..",2190.631908,-0.0656981666882833,5,"816628",17.8
"Fiji","FJI",2004,9.188561758,"..",2301.770481,-0.144859723746777,6,"818354",17.3
"Fiji","FJI",2005,5.179054856,"..",2308.158256,-0.0994721539318562,6,"821817",16.9
"Fiji","FJI",2006,13.28902221,"..",2335.125267,-0.212824342830572,-3,"827411",16.4
"Fiji","FJI",2007,9.994139496,"..",2295.241772,-0.37764768054088,-4,"834812",16
"Fiji","FJI",2008,8.6185908,"..",2295.895554,-0.488519045019833,-4,"843340",15.6
"Fiji","FJI",2009,1.947606687,"..",2243.620848,-0.728142666320006,-4,"851967",15.4
"Fiji","FJI",2010,6.182071594,"..",2217.539007,-0.726742503543695,-4,"859950",14.9
"Gabon","GAB",1996,-8.589392042,"32.754473553782",4635.646681,-0.359678404405713,-4,"1113994",64.8
"Gabon","GAB",1998,3.270480381,"16.2271208310524",4814.973206,-0.298441141843796,-4,"1171224",64.2
"Gabon","GAB",2000,-0.841116313,"40.2509661569359",4102.603134,-0.232598555584749,-4,"1231122",63.4
