"child_mortality","life_expectancy","radio_television_per_cap","log_population","civil_war","year","country_name","international_war","urban_population_pct","oil_production_per_cap","inequality_gini","gdp_per_cap","inflation","region_name","education15","government_effectiveness","political_stability","polity","healthcare","womens_civ_lib","media_censorship","internet_access"
42.8,63,0.126664640739026,14.2218193101047,0,2010,"Gabon",0,38.0350383817282,3759.60012901069,44.0999984741211,3978.68577038725,1.46154403686523,"Sub-Saharan Africa",6.67839479446411,-0.783340454101562,0.297931671142578,3,-0.390421539993256,0.762168203937879,0.859371152137988,1
6.6,76.3,0.444802207825644,17.8714342753198,0,1993,"United Kingdom",0,90,299.95704,33.7999992370605,16458.30078125,2.49699997901917,"Western Europe/North America",11.8199996948242,1.16051998531485,0.982427782029993,10,2.37840739938855,0.968097502601261,1.77306561944349,1
6.3,76.6,0.446987185140072,17.8743222938778,0,1994,"United Kingdom",0,89.8,346.64397,34.0499992370605,17117.939453125,2.07100009918213,"Western Europe/North America",11.9399995803833,1.08048643480021,0.0962538143515588,10,2.86127831203356,0.968097502601261,1.77306561944349,1
6.1,76.7,0.449149264468831,17.8772019957975,0,1995,"United Kingdom",0,89.6,369.59681,33,17585.529296875,2.625,"Western Europe/North America",12.0599994659424,2.11091015845012,0.329385757543223,10,2.59200018386781,0.968097502601261,1.77306561944349,1
5.9,76.9,0.516557122124214,17.8800734288402,0,1996,"United Kingdom",0,89.4,451.52068,32.5499992370605,18044,2.44199991226196,"Western Europe/North America",12.1800003051758,1.87929713726044,0.917307078838348,10,2.95979412294418,0.968097502601261,1.77306561944349,1
5.8,77.1,0.523649486324757,17.8829366403572,0,1997,"United Kingdom",0,89.2,401.25284,31.8999996185303,19115.0703125,1.81599998474121,"Western Europe/North America",12.3000001907349,1.8674703622605,0.865412534437877,10,1.19248256761074,0.968097502601261,1.77306561944349,1
5.8,77.3,0.530718482946731,17.8857916772939,0,1998,"United Kingdom",0,89,275.1246,33.25,19724.08984375,1.56099998950958,"Western Europe/North America",12.4200000762939,1.91651034355164,0.876235067844391,10,2.93578613012523,0.968097502601261,1.77306561944349,1
5.7,77.5,0.537730263175591,17.8886385861951,0,1999,"United Kingdom",0,90.0602866297877,384.68101,34.2000007629395,20269.48046875,1.31700003147125,"Western Europe/North America",12.539999961853,1.92174529137439,0.845442286522823,10,2.03375098596752,0.968097502601261,1.77306561944349,1
5.6,77.8,0.506411512588214,17.8914774132089,0,2000,"United Kingdom",0,75.977069376451,537.67995,35,21045.720703125,0.866999983787537,"Western Europe/North America",12.6599998474121,1.86248910427094,0.983388304710388,10,3.46170323645846,0.968097502601261,1.77306561944349,1
5.4,78,0.601439365830569,17.8953817511338,0,2001,"United Kingdom",0,92.92295681999,415.07887,34.2999992370605,21567.349609375,1.182000041008,"Western Europe/North America",12.7049999237061,1.87778383981169,0.55901839258412,10,3.71958572628126,0.957456272804872,2.5337108165268,1
