"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Prignitz – Ostprignitz-Ruppin – Havelland I",30.8091811917308,23.6969666261316,17.9832117281448,17.6065734360222,2.9919943250912,3.57215241183624,9.76,3.2,2.5
"Uckermark – Barnim I",30.5883732749521,19.4206184760937,20.1813988037062,18.4424723405919,3.68583603737441,3.80155596387662,11.78,4.1,2.6
"Oberhavel – Havelland II",29.8797216917978,22.7135049713571,17.9748030113474,14.7242158863941,5.3137551853559,5.21827879107131,6.38,5.1,4.6
"Märkisch-Oderland – Barnim II",28.3982219039947,15.8250544467317,20.2350905456607,22.5066380261941,5.35278498761896,4.24236999910499,7.42,4.1,2.6
"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I",31.7897431412922,25.0800944438703,16.9426579430634,15.1340737266375,3.4128580400512,4.58148168758794,9.62,4.6,2.5
"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II",24.8551776883207,26.1408794241214,12.3454238216554,16.4567755137898,8.03460232645869,7.45376279629792,5.9,6.3,4.8
"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I",30.7037288135593,19.608406779661,20.2614237288136,16.4154576271186,4.40786440677966,4.83308474576271,6.32,4.8,3.4
"Frankfurt (Oder) – Oder-Spree",27.069424207497,17.1041471848292,21.9349179769335,19.136782434088,3.26569964262155,5.07941340640382,8.4,4.8,2.9
"Cottbus – Spree-Neiße",28.4093186758969,16.9745139456359,25.2655760958387,15.6948149061811,3.32875930865416,5.72549684700658,9.08,4.9,3.1
"Elbe-Elster – Oberspreewald-Lausitz II",29.4857577914232,16.6669425180821,24.6851156093282,16.204339694467,2.93119713997253,5.37165461195981,10.5,2.7,3
"Altmark",32.5652785645111,19.0892977871983,16.4735870776765,19.1669559815082,3.42335593034517,6.74347214354889,10.59,2.9,2.5
"Börde – Jerichower Land",37.7681697649082,19.9906812933817,12.0879869712815,20.285316870285,2.42491931781586,7.59269029689673,8.01,2.7,3.5
"Harz",36.4124003542958,17.5475642161205,16.1502214348981,19.2049601417183,3.16173604960142,4.90558015943313,8.65,2.8,3.4
"Magdeburg",27.4162706248015,21.7219879536833,15.26904893894,18.8736008770017,3.99633752109974,6.72513345001775,10.61,6.4,3.6
