"pair","date","year","village","district","vilno","disno","treat","poverty","pop2000","lpop2000","pret","pret.1","diff","groznyy","elevation","lelev","tariq","nn","lnn","reb","garrison","vildays","deaths","deathsd","wounded","woundedd","fail","swept","prop","propd","lprop","history","historyd","lhistory","change","decrease","increase","abandon","iso"
23,"9/11/2000",2000,"Novye Atagi","Shalinskiy",95,10,1,2,9311,9.13895130157471,0,0,1,0,266,5.58349609375,0,3.08599996566772,1.12687599658966,1,0,21,0,0,0,0,1,0,3,1,1.38629400730133,0,0,0,1,0,1,0,1
24,"9/15/2000",2000,"Alkhazurovo","Urus-Martanovskiy",8,14,0,2,5365,8.58765125274658,0,0,0,0,389,5.96357917785645,0,2.43899989128113,0.891588091850281,0,0,90,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,4
24,"9/15/2000",2000,"Tangy-Chu","Urus-Martanovskiy",125,14,1,2,1624,7.39264822006226,0,0,0,0,322,5.7745509147644,0,3.22499990463257,1.17093300819397,0,0,90,0,0,0,0,0,0,2,1,1.09861195087433,0,0,0,0,0,0,2,3
25,"9/21/2000",2000,"Michurina","Groznenskiy",85,3,1,2,419,6.03787088394165,2,2,0,0,109,4.6913480758667,0,1.24399995803833,0.21833199262619,0,0,73,1,1,0,0,1,0,1,1,0.6931471824646,0,0,0,0,0,0,0,4
25,"9/21/2000",2000,"Podgornyy","Nadterechny",103,7,0,1,1417,7.25629711151123,0,0,0,0,216,5.37527799606323,1,1.89999997615814,0.641853928565979,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,2
26,"9/24/2000",2000,"Argun","Shalinskiy",9,10,1,1,23102,10.0476703643799,2,2,0,0,117,4.76217412948608,0,1.69900000095367,0.53003978729248,1,1,7,15,1,42,1,1,1,3,1,1.38629400730133,0,0,0,0,0,0,0,2
26,"9/24/2000",2000,"Shali","Shalinskiy",113,10,0,2,29011,10.275429725647,5,5,1,0,227,5.42495012283325,0,4.34999990463257,1.47017598152161,1,1,10,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,1
27,"10/27/2000",2000,"Khatuni","Vedenskiy",64,15,1,3,1613,7.38585090637207,0,0,0,0,614,6.41999483108521,0,2.16199994087219,0.771033704280853,1,0,90,1,1,0,0,0,0,1,1,0.6931471824646,0,0,0,0,0,0,0,3
27,"10/27/2000",2000,"Tevzena","Vedenskiy",129,15,0,3,1699,7.43779516220093,0,0,0,0,572,6.34913921356201,0,0.607200026512146,-0.498896986246109,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,4
28,"11/2/2000",2000,"Gansolchu","Nozhai-Yurtovskiy",40,9,1,3,823,6.71295595169067,0,0,0,0,738,6.60394382476807,0,1.79999995231628,0.587786614894867,1,0,90,0,0,0,0,0,0,2,1,1.09861195087433,1,1,0.6931471824646,0,0,0,0,5
28,"11/2/2000",2000,"Sovetskoye","Shatoiskiy",118,11,0,3,1103,7.00578880310059,0,0,0,0,526,6.26530122756958,0,1.66680002212524,0.510905623435974,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2,6
