IMMBRIT,over.estimate,RSex,RAge,Househld,paper,WWWhourspW,religious,employMonths,urban,health.good,HHInc,party_self
40,1,2,57,5,1,10,1,72,3,1,9,7
50,1,1,19,2,0,5,1,72,1,2,1,2
25,1,1,76,2,1,0,1,72,3,2,4,2
25,1,2,33,1,0,15,0,120,4,2,15,1
40,1,1,39,1,1,5,1,36,2,3,10,5
25,1,1,42,5,0,10,1,252,1,3,15,2
25,1,1,75,2,1,0,0,72,4,2,6,1
20,1,2,27,2,0,5,1,20,2,2,17,1
5,0,1,76,1,0,0,1,72,2,3,4,2
1,0,2,33,2,0,3,0,48,2,2,16,7
30,1,2,74,1,0,0,1,72,4,1,10,2
30,1,2,71,2,1,5,1,72,1,3,9,5
5,0,2,67,1,1,0,1,72,2,3,7,7
10,0,1,54,2,1,2,0,300,2,2,14,2
15,1,1,49,2,1,3,0,168,3,0,16,5
80,1,2,31,4,0,6,0,84,2,3,11,7
50,1,2,57,6,1,7,0,84,3,2,7,7
25,1,2,50,4,0,2,0,120,4,2,14,2
25,1,1,64,2,1,2,0,72,4,1,10,1
70,1,1,33,5,0,7,0,18,3,2,9,2
50,1,2,67,2,1,0,1,72,2,2,5,1
50,1,1,49,3,0,14,1,84,1,2,16,1
5,0,1,58,2,1,7,1,72,4,3,17,2
5,0,2,63,1,0,20,0,72,1,3,9,4
20,1,1,68,1,1,0,0,60,3,2,9,7
60,1,2,55,1,1,2,1,120,1,0,5,1
30,1,2,43,3,1,0,0,72,2,1,6,2
10,0,2,55,2,1,3,0,17,2,3,1,2
14,1,1,53,1,0,20,0,24,4,2,15,2
40,1,2,49,4,0,1,0,24,3,3,8,1
1,0,2,42,1,0,2,0,48,3,3,15,7
15,1,2,62,1,1,2,1,72,4,2,3,1
10,0,1,56,2,1,1,1,16,2,2,10,1
50,1,2,57,3,1,2,1,300,3,3,13,7
80,1,2,74,2,1,0,0,72,1,2,6,7
45,1,2,26,2,1,20,0,24,3,1,9,7
22,1,1,30,2,0,7,0,48,4,3,14,7
90,1,2,29,3,0,10,0,72,3,2,2,6
27,1,2,30,4,0,15,0,8,3,2,17,2
5,0,2,56,2,1,5,1,180,2,2,17,7
30,1,2,20,4,0,7,1,72,4,1,9,7
30,1,2,84,1,0,0,0,72,3,2,2,2
20,1,1,21,4,1,10,0,60,1,2,9,1
40,1,2,58,5,1,0,0,72,2,3,4,7
1,0,1,51,1,0,0,1,72,4,2,1,2
16,1,2,64,2,0,5,0,72,3,2,8,2
50,1,2,76,1,1,0,1,72,2,0,4,2
80,1,2,39,6,1,14,1,72,3,2,17,1
10,0,1,32,2,1,5,1,168,1,2,17,1
40,1,1,40,1,1,3,1,48,4,2,9,7
50,1,1,80,1,1,0,1,72,1,3,5,1
40,1,2,58,2,0,0,1,444,1,2,13,1
10,0,1,62,2,0,20,1,72,2,2,10,7
4,0,1,62,1,1,0,0,72,2,3,3,5
85,1,2,55,2,1,15,0,36,2,3,16,7
10,0,1,55,1,1,0,1,72,4,1,5,2
60,1,1,84,1,0,0,1,72,2,1,9,2
15,1,1,49,3,1,3,0,396,3,3,13,2
5,0,1,35,2,0,0,1,1,2,2,10,2
5,0,1,36,1,0,2,1,72,3,0,3,2
80,1,2,29,2,0,42,0,72,1,3,2,7
40,1,1,30,2,1,2,0,36,4,2,8,2
25,1,2,27,2,1,15,1,24,4,2,6,2
50,1,2,23,4,0,20,0,72,4,2,6,7
10,0,2,24,5,0,35,0,72,3,3,6,1
15,1,2,64,2,1,5,1,72,2,3,17,1
30,1,1,76,1,0,14,0,72,3,1,9,1
25,1,2,88,1,0,0,1,72,2,1,9,7
25,1,2,67,3,1,0,1,72,4,2,5,2
50,1,1,75,2,1,7,1,72,2,2,9,7
20,1,1,69,1,1,0,1,72,2,0,9,2
30,1,2,50,4,1,2,0,108,1,2,17,7
40,1,2,43,4,0,4,1,72,1,3,9,7
10,0,1,72,2,1,0,0,72,1,1,7,2
55,1,1,29,3,0,0,0,72,4,0,4,6
1,0,1,39,1,0,20,1,72,2,2,6,6
20,1,2,59,5,0,0,1,72,4,0,9,2
60,1,2,43,2,0,6,0,24,4,3,7,7
45,1,2,47,3,1,6,1,72,2,0,5,1
40,1,1,70,1,1,0,1,72,4,1,4,2
25,1,2,20,3,0,5,1,36,3,3,9,7
5,0,1,66,3,1,0,0,72,1,2,9,2
3,0,2,42,2,1,2,0,18,3,3,17,2
10,0,1,23,2,0,0,0,12,2,0,8,7
30,1,1,27,3,1,7,1,48,4,2,14,1
25,1,2,57,2,0,10,1,72,3,3,9,2
25,1,1,62,1,1,0,1,72,4,1,4,1
14,1,2,80,2,0,0,1,72,3,2,3,2
8,0,1,57,2,0,20,0,84,3,2,8,2
